datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2001-01-01 00:00:00,0.0,0.0,0.0,1.791
2001-01-01 01:00:00,0.0,0.0,0.0,2.119
2001-01-01 02:00:00,0.0,0.0,0.0,3.024
2001-01-01 03:00:00,0.0,0.0,0.0,4.075
2001-01-01 04:00:00,0.0,0.0,0.0,5.088
2001-01-01 05:00:00,0.0,0.0,0.0,5.717
2001-01-01 06:00:00,0.0,0.0,0.0,5.876
2001-01-01 07:00:00,0.0,0.0,0.0,5.871
2001-01-01 08:00:00,2.0,4.0,5.0,5.943
2001-01-01 09:00:00,22.0,9.0,25.0,6.498
2001-01-01 10:00:00,74.0,29.0,57.0,7.245
2001-01-01 11:00:00,175.0,93.0,89.0,7.978
2001-01-01 12:00:00,173.0,92.0,89.0,8.31
2001-01-01 13:00:00,106.0,51.0,66.0,8.248
2001-01-01 14:00:00,59.0,33.0,38.0,7.804
2001-01-01 15:00:00,9.0,12.0,7.0,7.075
2001-01-01 16:00:00,0.0,0.0,0.0,6.715
2001-01-01 17:00:00,0.0,0.0,0.0,6.808
2001-01-01 18:00:00,0.0,0.0,0.0,7.089
2001-01-01 19:00:00,0.0,0.0,0.0,7.558
2001-01-01 20:00:00,0.0,0.0,0.0,7.732
2001-01-01 21:00:00,0.0,0.0,0.0,7.883
2001-01-01 22:00:00,0.0,0.0,0.0,8.17
2001-01-01 23:00:00,0.0,0.0,0.0,8.414
2001-01-02 00:00:00,0.0,0.0,0.0,8.573
2001-01-02 01:00:00,0.0,0.0,0.0,8.613
2001-01-02 02:00:00,0.0,0.0,0.0,8.497
2001-01-02 03:00:00,0.0,0.0,0.0,8.175
2001-01-02 04:00:00,0.0,0.0,0.0,7.664
2001-01-02 05:00:00,0.0,0.0,0.0,7.421
2001-01-02 06:00:00,0.0,0.0,0.0,7.447
2001-01-02 07:00:00,0.0,0.0,0.0,7.552
2001-01-02 08:00:00,1.0,2.0,4.0,7.889
2001-01-02 09:00:00,14.0,4.0,20.0,8.226
2001-01-02 10:00:00,25.0,5.0,33.0,8.541
2001-01-02 11:00:00,26.0,4.0,35.0,8.857
2001-01-02 12:00:00,40.0,7.0,46.0,9.336
2001-01-02 13:00:00,63.0,19.0,57.0,9.689
2001-01-02 14:00:00,29.0,11.0,30.0,9.488
2001-01-02 15:00:00,1.0,3.0,5.0,9.025
2001-01-02 16:00:00,0.0,0.0,0.0,8.653
2001-01-02 17:00:00,0.0,0.0,0.0,8.395
2001-01-02 18:00:00,0.0,0.0,0.0,8.099
2001-01-02 19:00:00,0.0,0.0,0.0,7.669
2001-01-02 20:00:00,0.0,0.0,0.0,7.14
2001-01-02 21:00:00,0.0,0.0,0.0,6.864
2001-01-02 22:00:00,0.0,0.0,0.0,6.749
2001-01-02 23:00:00,0.0,0.0,0.0,6.428
2001-01-03 00:00:00,0.0,0.0,0.0,5.709
2001-01-03 01:00:00,0.0,0.0,0.0,4.851
2001-01-03 02:00:00,0.0,0.0,0.0,3.997
2001-01-03 03:00:00,0.0,0.0,0.0,3.22
2001-01-03 04:00:00,0.0,0.0,0.0,2.577
2001-01-03 05:00:00,0.0,0.0,0.0,2.094
2001-01-03 06:00:00,0.0,0.0,0.0,1.678
2001-01-03 07:00:00,0.0,0.0,0.0,1.515
2001-01-03 08:00:00,10.0,12.0,8.0,1.614
2001-01-03 09:00:00,42.0,22.0,32.0,2.358
2001-01-03 10:00:00,209.0,132.0,78.0,3.268
2001-01-03 11:00:00,259.0,165.0,93.0,4.507
2001-01-03 12:00:00,269.0,173.0,96.0,5.677
2001-01-03 13:00:00,69.0,27.0,55.0,6.085
2001-01-03 14:00:00,44.0,22.0,34.0,6.073
2001-01-03 15:00:00,11.0,13.0,8.0,5.648
2001-01-03 16:00:00,0.0,0.0,0.0,5.28
2001-01-03 17:00:00,0.0,0.0,0.0,4.957
2001-01-03 18:00:00,0.0,0.0,0.0,4.694
2001-01-03 19:00:00,0.0,0.0,0.0,5.774
2001-01-03 20:00:00,0.0,0.0,0.0,7.159
2001-01-03 21:00:00,0.0,0.0,0.0,7.699
2001-01-03 22:00:00,0.0,0.0,0.0,7.766
2001-01-03 23:00:00,0.0,0.0,0.0,7.777
2001-01-04 00:00:00,0.0,0.0,0.0,7.937
2001-01-04 01:00:00,0.0,0.0,0.0,8.011
2001-01-04 02:00:00,0.0,0.0,0.0,7.654
2001-01-04 03:00:00,0.0,0.0,0.0,7.456
2001-01-04 04:00:00,0.0,0.0,0.0,7.506
2001-01-04 05:00:00,0.0,0.0,0.0,7.596
2001-01-04 06:00:00,0.0,0.0,0.0,7.566
2001-01-04 07:00:00,0.0,0.0,0.0,7.503
2001-01-04 08:00:00,0.0,1.0,2.0,7.403
2001-01-04 09:00:00,8.0,2.0,15.0,7.457
2001-01-04 10:00:00,22.0,3.0,30.0,7.341
2001-01-04 11:00:00,28.0,4.0,37.0,7.125
2001-01-04 12:00:00,27.0,3.0,36.0,6.982
2001-01-04 13:00:00,15.0,2.0,24.0,6.901
2001-01-04 14:00:00,5.0,1.0,13.0,6.862
2001-01-04 15:00:00,0.0,1.0,3.0,6.923
2001-01-04 16:00:00,0.0,0.0,0.0,6.935
2001-01-04 17:00:00,0.0,0.0,0.0,6.656
2001-01-04 18:00:00,0.0,0.0,0.0,6.104
2001-01-04 19:00:00,0.0,0.0,0.0,5.723
2001-01-04 20:00:00,0.0,0.0,0.0,5.615
2001-01-04 21:00:00,0.0,0.0,0.0,5.567
2001-01-04 22:00:00,0.0,0.0,0.0,5.669
2001-01-04 23:00:00,0.0,0.0,0.0,5.76
2001-01-05 00:00:00,0.0,0.0,0.0,5.533
2001-01-05 01:00:00,0.0,0.0,0.0,5.583
2001-01-05 02:00:00,0.0,0.0,0.0,5.605
2001-01-05 03:00:00,0.0,0.0,0.0,5.539
2001-01-05 04:00:00,0.0,0.0,0.0,5.432
2001-01-05 05:00:00,0.0,0.0,0.0,5.303
2001-01-05 06:00:00,0.0,0.0,0.0,5.16
2001-01-05 07:00:00,0.0,0.0,0.0,5.037
2001-01-05 08:00:00,2.0,3.0,5.0,4.89
2001-01-05 09:00:00,26.0,10.0,28.0,5.184
2001-01-05 10:00:00,60.0,18.0,54.0,5.603
2001-01-05 11:00:00,75.0,19.0,68.0,6.003
2001-01-05 12:00:00,40.0,7.0,46.0,6.173
2001-01-05 13:00:00,15.0,2.0,24.0,6.081
2001-01-05 14:00:00,24.0,8.0,28.0,5.954
2001-01-05 15:00:00,5.0,6.0,7.0,5.131
2001-01-05 16:00:00,0.0,0.0,0.0,4.201
2001-01-05 17:00:00,0.0,0.0,0.0,3.872
2001-01-05 18:00:00,0.0,0.0,0.0,3.672
2001-01-05 19:00:00,0.0,0.0,0.0,3.35
2001-01-05 20:00:00,0.0,0.0,0.0,3.043
2001-01-05 21:00:00,0.0,0.0,0.0,2.859
2001-01-05 22:00:00,0.0,0.0,0.0,2.763
2001-01-05 23:00:00,0.0,0.0,0.0,2.665
2001-01-06 00:00:00,0.0,0.0,0.0,2.416
2001-01-06 01:00:00,0.0,0.0,0.0,2.277
2001-01-06 02:00:00,0.0,0.0,0.0,2.1270000000000002
2001-01-06 03:00:00,0.0,0.0,0.0,1.984
2001-01-06 04:00:00,0.0,0.0,0.0,1.889
2001-01-06 05:00:00,0.0,0.0,0.0,1.856
2001-01-06 06:00:00,0.0,0.0,0.0,1.8900000000000001
2001-01-06 07:00:00,0.0,0.0,0.0,1.98
2001-01-06 08:00:00,1.0,3.0,5.0,2.055
2001-01-06 09:00:00,16.0,6.0,21.0,2.453
2001-01-06 10:00:00,35.0,8.0,38.0,3.116
2001-01-06 11:00:00,101.0,35.0,75.0,4.24
2001-01-06 12:00:00,224.0,130.0,97.0,5.545
2001-01-06 13:00:00,222.0,143.0,82.0,6.384
2001-01-06 14:00:00,101.0,64.0,47.0,6.442
2001-01-06 15:00:00,25.0,26.0,11.0,5.704
2001-01-06 16:00:00,0.0,0.0,0.0,4.958
2001-01-06 17:00:00,0.0,0.0,0.0,4.545
2001-01-06 18:00:00,0.0,0.0,0.0,4.627
2001-01-06 19:00:00,0.0,0.0,0.0,4.557
