datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2010-01-01 00:00:00,0.0,0.0,0.0,-0.379
2010-01-01 01:00:00,0.0,0.0,0.0,-0.428
2010-01-01 02:00:00,0.0,0.0,0.0,-0.508
2010-01-01 03:00:00,0.0,0.0,0.0,-0.602
2010-01-01 04:00:00,0.0,0.0,0.0,-0.685
2010-01-01 05:00:00,0.0,0.0,0.0,-1.147
2010-01-01 06:00:00,0.0,0.0,0.0,-1.571
2010-01-01 07:00:00,0.0,0.0,0.0,-1.994
2010-01-01 08:00:00,91.0,88.0,10.0,-2.061
2010-01-01 09:00:00,380.0,322.0,44.0,-0.648
2010-01-01 10:00:00,582.0,510.0,62.0,0.5760000000000001
2010-01-01 11:00:00,671.0,603.0,68.0,1.499
2010-01-01 12:00:00,674.0,608.0,68.0,2.049
2010-01-01 13:00:00,615.0,551.0,60.0,1.958
2010-01-01 14:00:00,436.0,381.0,43.0,0.739
2010-01-01 15:00:00,125.0,119.0,11.0,-2.231
2010-01-01 16:00:00,0.0,0.0,0.0,-3.671
2010-01-01 17:00:00,0.0,0.0,0.0,-3.703
2010-01-01 18:00:00,0.0,0.0,0.0,-3.425
2010-01-01 19:00:00,0.0,0.0,0.0,-2.993
2010-01-01 20:00:00,0.0,0.0,0.0,-2.305
2010-01-01 21:00:00,0.0,0.0,0.0,-1.839
2010-01-01 22:00:00,0.0,0.0,0.0,-1.845
2010-01-01 23:00:00,0.0,0.0,0.0,-1.932
2010-01-02 00:00:00,0.0,0.0,0.0,-1.942
2010-01-02 01:00:00,0.0,0.0,0.0,-1.853
2010-01-02 02:00:00,0.0,0.0,0.0,-1.681
2010-01-02 03:00:00,0.0,0.0,0.0,-1.513
2010-01-02 04:00:00,0.0,0.0,0.0,-1.391
2010-01-02 05:00:00,0.0,0.0,0.0,-1.439
2010-01-02 06:00:00,0.0,0.0,0.0,-1.736
2010-01-02 07:00:00,0.0,0.0,0.0,-2.259
2010-01-02 08:00:00,31.0,33.0,9.0,-2.479
2010-01-02 09:00:00,296.0,238.0,47.0,-1.5090000000000001
2010-01-02 10:00:00,566.0,486.0,67.0,-0.267
2010-01-02 11:00:00,494.0,400.0,83.0,1.105
2010-01-02 12:00:00,376.0,280.0,87.0,1.908
2010-01-02 13:00:00,284.0,205.0,74.0,2.19
2010-01-02 14:00:00,130.0,92.0,44.0,1.748
2010-01-02 15:00:00,24.0,26.0,9.0,0.517
2010-01-02 16:00:00,0.0,0.0,0.0,0.211
2010-01-02 17:00:00,0.0,0.0,0.0,0.29
2010-01-02 18:00:00,0.0,0.0,0.0,0.209
2010-01-02 19:00:00,0.0,0.0,0.0,0.017
2010-01-02 20:00:00,0.0,0.0,0.0,-0.076
2010-01-02 21:00:00,0.0,0.0,0.0,-0.219
2010-01-02 22:00:00,0.0,0.0,0.0,-0.06
2010-01-02 23:00:00,0.0,0.0,0.0,-0.121
2010-01-03 00:00:00,0.0,0.0,0.0,-0.2
2010-01-03 01:00:00,0.0,0.0,0.0,-0.302
2010-01-03 02:00:00,0.0,0.0,0.0,-0.47500000000000003
2010-01-03 03:00:00,0.0,0.0,0.0,-0.981
2010-01-03 04:00:00,0.0,0.0,0.0,-1.682
2010-01-03 05:00:00,0.0,0.0,0.0,-2.204
2010-01-03 06:00:00,0.0,0.0,0.0,-2.714
2010-01-03 07:00:00,0.0,0.0,0.0,-3.047
2010-01-03 08:00:00,83.0,80.0,11.0,-2.813
2010-01-03 09:00:00,295.0,238.0,47.0,-0.891
2010-01-03 10:00:00,419.0,335.0,72.0,0.446
2010-01-03 11:00:00,457.0,360.0,85.0,1.195
2010-01-03 12:00:00,428.0,331.0,86.0,1.6340000000000001
2010-01-03 13:00:00,320.0,239.0,74.0,1.534
2010-01-03 14:00:00,166.0,122.0,46.0,0.307
2010-01-03 15:00:00,35.0,36.0,10.0,-1.711
2010-01-03 16:00:00,0.0,0.0,0.0,-2.694
2010-01-03 17:00:00,0.0,0.0,0.0,-2.918
2010-01-03 18:00:00,0.0,0.0,0.0,-3.118
2010-01-03 19:00:00,0.0,0.0,0.0,-3.342
2010-01-03 20:00:00,0.0,0.0,0.0,-3.562
2010-01-03 21:00:00,0.0,0.0,0.0,-3.789
2010-01-03 22:00:00,0.0,0.0,0.0,-4.001
2010-01-03 23:00:00,0.0,0.0,0.0,-4.179
2010-01-04 00:00:00,0.0,0.0,0.0,-4.256
2010-01-04 01:00:00,0.0,0.0,0.0,-4.2
2010-01-04 02:00:00,0.0,0.0,0.0,-4.045
