datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2007-01-01 00:00:00,0.0,0.0,0.0,8.044
2007-01-01 01:00:00,0.0,0.0,0.0,7.996
2007-01-01 02:00:00,0.0,0.0,0.0,7.924
2007-01-01 03:00:00,0.0,0.0,0.0,7.706
2007-01-01 04:00:00,0.0,0.0,0.0,6.939
2007-01-01 05:00:00,0.0,0.0,0.0,6.149
2007-01-01 06:00:00,0.0,0.0,0.0,5.816
2007-01-01 07:00:00,0.0,0.0,0.0,5.592
2007-01-01 08:00:00,19.0,19.0,13.0,5.416
2007-01-01 09:00:00,169.0,136.0,58.0,5.846
2007-01-01 10:00:00,323.0,280.0,78.0,6.745
2007-01-01 11:00:00,355.0,305.0,91.0,7.685
2007-01-01 12:00:00,345.0,292.0,93.0,8.377
2007-01-01 13:00:00,275.0,226.0,83.0,8.621
2007-01-01 14:00:00,125.0,90.0,58.0,8.29
2007-01-01 15:00:00,15.0,16.0,12.0,7.434
2007-01-01 16:00:00,0.0,0.0,0.0,6.707
2007-01-01 17:00:00,0.0,0.0,0.0,6.312
2007-01-01 18:00:00,0.0,0.0,0.0,6.039
2007-01-01 19:00:00,0.0,0.0,0.0,5.685
2007-01-01 20:00:00,0.0,0.0,0.0,5.13
2007-01-01 21:00:00,0.0,0.0,0.0,4.234
2007-01-01 22:00:00,0.0,0.0,0.0,3.588
2007-01-01 23:00:00,0.0,0.0,0.0,3.238
2007-01-02 00:00:00,0.0,0.0,0.0,3.076
2007-01-02 01:00:00,0.0,0.0,0.0,3.052
2007-01-02 02:00:00,0.0,0.0,0.0,3.171
2007-01-02 03:00:00,0.0,0.0,0.0,3.439
2007-01-02 04:00:00,0.0,0.0,0.0,3.693
2007-01-02 05:00:00,0.0,0.0,0.0,3.933
2007-01-02 06:00:00,0.0,0.0,0.0,4.25
2007-01-02 07:00:00,0.0,0.0,0.0,4.655
2007-01-02 08:00:00,3.0,3.0,8.0,5.057
2007-01-02 09:00:00,73.0,36.0,57.0,5.648
2007-01-02 10:00:00,176.0,104.0,96.0,6.536
2007-01-02 11:00:00,218.0,132.0,114.0,7.37
2007-01-02 12:00:00,174.0,87.0,112.0,7.8790000000000004
2007-01-02 13:00:00,80.0,24.0,77.0,8.042
2007-01-02 14:00:00,23.0,5.0,33.0,7.949
2007-01-02 15:00:00,1.0,1.0,6.0,7.654
2007-01-02 16:00:00,0.0,0.0,0.0,7.248
2007-01-02 17:00:00,0.0,0.0,0.0,6.751
2007-01-02 18:00:00,0.0,0.0,0.0,6.06
2007-01-02 19:00:00,0.0,0.0,0.0,5.137
2007-01-02 20:00:00,0.0,0.0,0.0,4.455
2007-01-02 21:00:00,0.0,0.0,0.0,3.99
2007-01-02 22:00:00,0.0,0.0,0.0,3.763
2007-01-02 23:00:00,0.0,0.0,0.0,3.761
2007-01-03 00:00:00,0.0,0.0,0.0,4.197
2007-01-03 01:00:00,0.0,0.0,0.0,4.429
2007-01-03 02:00:00,0.0,0.0,0.0,4.229
2007-01-03 03:00:00,0.0,0.0,0.0,4.272
2007-01-03 04:00:00,0.0,0.0,0.0,4.409
2007-01-03 05:00:00,0.0,0.0,0.0,4.704
2007-01-03 06:00:00,0.0,0.0,0.0,5.147
2007-01-03 07:00:00,0.0,0.0,0.0,5.67
2007-01-03 08:00:00,1.0,1.0,6.0,6.543
2007-01-03 09:00:00,11.0,2.0,21.0,7.685
2007-01-03 10:00:00,32.0,4.0,45.0,8.58
2007-01-03 11:00:00,88.0,18.0,91.0,9.597
2007-01-03 12:00:00,70.0,12.0,79.0,10.266
