datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2003-01-01 00:00:00,0.0,0.0,0.0,2.061
2003-01-01 01:00:00,0.0,0.0,0.0,2.406
2003-01-01 02:00:00,0.0,0.0,0.0,2.646
2003-01-01 03:00:00,0.0,0.0,0.0,2.784
2003-01-01 04:00:00,0.0,0.0,0.0,2.933
2003-01-01 05:00:00,0.0,0.0,0.0,3.204
2003-01-01 06:00:00,0.0,0.0,0.0,3.601
2003-01-01 07:00:00,0.0,0.0,0.0,4.251
2003-01-01 08:00:00,0.0,0.0,2.0,5.698
2003-01-01 09:00:00,2.0,1.0,8.0,7.712
2003-01-01 10:00:00,20.0,4.0,28.0,9.711
2003-01-01 11:00:00,76.0,21.0,68.0,11.172
2003-01-01 12:00:00,75.0,22.0,67.0,11.766
2003-01-01 13:00:00,51.0,15.0,50.0,11.638
2003-01-01 14:00:00,27.0,11.0,29.0,11.148
2003-01-01 15:00:00,6.0,8.0,7.0,9.796
2003-01-01 16:00:00,0.0,0.0,0.0,8.762
2003-01-01 17:00:00,0.0,0.0,0.0,8.773
2003-01-01 18:00:00,0.0,0.0,0.0,8.735
2003-01-01 19:00:00,0.0,0.0,0.0,8.505
2003-01-01 20:00:00,0.0,0.0,0.0,8.232
2003-01-01 21:00:00,0.0,0.0,0.0,8.284
2003-01-01 22:00:00,0.0,0.0,0.0,8.244
2003-01-01 23:00:00,0.0,0.0,0.0,8.295
2003-01-02 00:00:00,0.0,0.0,0.0,8.359
2003-01-02 01:00:00,0.0,0.0,0.0,8.436
2003-01-02 02:00:00,0.0,0.0,0.0,8.306
2003-01-02 03:00:00,0.0,0.0,0.0,8.181
2003-01-02 04:00:00,0.0,0.0,0.0,7.971
2003-01-02 05:00:00,0.0,0.0,0.0,7.75
2003-01-02 06:00:00,0.0,0.0,0.0,7.108
2003-01-02 07:00:00,0.0,0.0,0.0,6.672
2003-01-02 08:00:00,0.0,1.0,3.0,6.672
2003-01-02 09:00:00,4.0,1.0,11.0,7.287
2003-01-02 10:00:00,8.0,1.0,17.0,7.478
2003-01-02 11:00:00,21.0,3.0,30.0,7.143
2003-01-02 12:00:00,45.0,8.0,49.0,6.913
2003-01-02 13:00:00,59.0,17.0,54.0,7.155
2003-01-02 14:00:00,42.0,19.0,36.0,7.389
2003-01-02 15:00:00,5.0,7.0,7.0,7.31
2003-01-02 16:00:00,0.0,0.0,0.0,7.21
2003-01-02 17:00:00,0.0,0.0,0.0,7.132
2003-01-02 18:00:00,0.0,0.0,0.0,6.941
2003-01-02 19:00:00,0.0,0.0,0.0,6.696
2003-01-02 20:00:00,0.0,0.0,0.0,6.402
2003-01-02 21:00:00,0.0,0.0,0.0,6.113
2003-01-02 22:00:00,0.0,0.0,0.0,5.981
2003-01-02 23:00:00,0.0,0.0,0.0,5.81
2003-01-03 00:00:00,0.0,0.0,0.0,5.552
2003-01-03 01:00:00,0.0,0.0,0.0,5.451
2003-01-03 02:00:00,0.0,0.0,0.0,5.423
2003-01-03 03:00:00,0.0,0.0,0.0,5.432
2003-01-03 04:00:00,0.0,0.0,0.0,5.402
2003-01-03 05:00:00,0.0,0.0,0.0,5.425
2003-01-03 06:00:00,0.0,0.0,0.0,5.319
2003-01-03 07:00:00,0.0,0.0,0.0,5.098
2003-01-03 08:00:00,0.0,1.0,2.0,4.592
2003-01-03 09:00:00,10.0,3.0,16.0,4.034
2003-01-03 10:00:00,30.0,6.0,36.0,3.767
2003-01-03 11:00:00,58.0,13.0,57.0,3.77
2003-01-03 12:00:00,92.0,29.0,73.0,3.909
2003-01-03 13:00:00,98.0,41.0,66.0,3.938
2003-01-03 14:00:00,74.0,43.0,43.0,3.649
2003-01-03 15:00:00,19.0,21.0,9.0,2.674
2003-01-03 16:00:00,0.0,0.0,0.0,1.816
2003-01-03 17:00:00,0.0,0.0,0.0,1.293
2003-01-03 18:00:00,0.0,0.0,0.0,0.765
2003-01-03 19:00:00,0.0,0.0,0.0,0.513
2003-01-03 20:00:00,0.0,0.0,0.0,0.457
2003-01-03 21:00:00,0.0,0.0,0.0,0.307
2003-01-03 22:00:00,0.0,0.0,0.0,0.229
2003-01-03 23:00:00,0.0,0.0,0.0,0.215
2003-01-04 00:00:00,0.0,0.0,0.0,0.07200000000000001
2003-01-04 01:00:00,0.0,0.0,0.0,-0.078
2003-01-04 02:00:00,0.0,0.0,0.0,-0.198
