datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2022-01-01 00:00:00,0.0,0.0,0.0,9.613
2022-01-01 01:00:00,0.0,0.0,0.0,10.176
2022-01-01 02:00:00,0.0,0.0,0.0,10.398
2022-01-01 03:00:00,0.0,0.0,0.0,10.165
2022-01-01 04:00:00,0.0,0.0,0.0,10.055
2022-01-01 05:00:00,0.0,0.0,0.0,10.154
2022-01-01 06:00:00,0.0,0.0,0.0,10.303
2022-01-01 07:00:00,0.0,0.0,0.0,10.437
2022-01-01 08:00:00,3.0,3.0,8.0,10.466
2022-01-01 09:00:00,39.0,13.0,43.0,10.663
2022-01-01 10:00:00,110.0,47.0,87.0,11.176
2022-01-01 11:00:00,180.0,99.0,111.0,11.908
2022-01-01 12:00:00,184.0,103.0,112.0,12.55
2022-01-01 13:00:00,108.0,47.0,86.0,12.763
2022-01-01 14:00:00,50.0,20.0,49.0,12.487
2022-01-01 15:00:00,10.0,10.0,12.0,11.862
2022-01-01 16:00:00,0.0,0.0,0.0,11.309
2022-01-01 17:00:00,0.0,0.0,0.0,11.172
2022-01-01 18:00:00,0.0,0.0,0.0,11.093
2022-01-01 19:00:00,0.0,0.0,0.0,11.199
2022-01-01 20:00:00,0.0,0.0,0.0,11.318
2022-01-01 21:00:00,0.0,0.0,0.0,11.471
2022-01-01 22:00:00,0.0,0.0,0.0,11.561
2022-01-01 23:00:00,0.0,0.0,0.0,11.649
2022-01-02 00:00:00,0.0,0.0,0.0,11.671
2022-01-02 01:00:00,0.0,0.0,0.0,11.591
2022-01-02 02:00:00,0.0,0.0,0.0,11.458
2022-01-02 03:00:00,0.0,0.0,0.0,11.283
2022-01-02 04:00:00,0.0,0.0,0.0,11.131
2022-01-02 05:00:00,0.0,0.0,0.0,11.085
2022-01-02 06:00:00,0.0,0.0,0.0,10.961
2022-01-02 07:00:00,0.0,0.0,0.0,10.416
2022-01-02 08:00:00,22.0,22.0,14.0,9.551
2022-01-02 09:00:00,157.0,124.0,59.0,9.574
2022-01-02 10:00:00,379.0,355.0,72.0,10.232
2022-01-02 11:00:00,459.0,448.0,76.0,10.974
2022-01-02 12:00:00,401.0,369.0,87.0,11.438
2022-01-02 13:00:00,173.0,111.0,91.0,11.375
2022-01-02 14:00:00,34.0,12.0,40.0,10.877
2022-01-02 15:00:00,2.0,3.0,7.0,10.155
2022-01-02 16:00:00,0.0,0.0,0.0,9.42
2022-01-02 17:00:00,0.0,0.0,0.0,8.958
2022-01-02 18:00:00,0.0,0.0,0.0,8.762
2022-01-02 19:00:00,0.0,0.0,0.0,8.662
2022-01-02 20:00:00,0.0,0.0,0.0,8.4
2022-01-02 21:00:00,0.0,0.0,0.0,8.057
2022-01-02 22:00:00,0.0,0.0,0.0,7.907
2022-01-02 23:00:00,0.0,0.0,0.0,7.898
2022-01-03 00:00:00,0.0,0.0,0.0,7.902
2022-01-03 01:00:00,0.0,0.0,0.0,7.859
2022-01-03 02:00:00,0.0,0.0,0.0,7.775
2022-01-03 03:00:00,0.0,0.0,0.0,7.721
2022-01-03 04:00:00,0.0,0.0,0.0,7.767
2022-01-03 05:00:00,0.0,0.0,0.0,7.865
2022-01-03 06:00:00,0.0,0.0,0.0,7.878
2022-01-03 07:00:00,0.0,0.0,0.0,7.764
2022-01-03 08:00:00,13.0,13.0,13.0,7.617
2022-01-03 09:00:00,123.0,84.0,62.0,7.977
2022-01-03 10:00:00,224.0,161.0,93.0,8.712
2022-01-03 11:00:00,247.0,169.0,110.0,9.412
2022-01-03 12:00:00,178.0,97.0,108.0,9.72
2022-01-03 13:00:00,132.0,66.0,91.0,9.672
2022-01-03 14:00:00,55.0,24.0,51.0,9.201
2022-01-03 15:00:00,8.0,7.0,11.0,8.429
2022-01-03 16:00:00,0.0,0.0,0.0,7.686
2022-01-03 17:00:00,0.0,0.0,0.0,7.479
2022-01-03 18:00:00,0.0,0.0,0.0,7.374
2022-01-03 19:00:00,0.0,0.0,0.0,7.225
2022-01-03 20:00:00,0.0,0.0,0.0,7.043
2022-01-03 21:00:00,0.0,0.0,0.0,6.949
2022-01-03 22:00:00,0.0,0.0,0.0,6.888
2022-01-03 23:00:00,0.0,0.0,0.0,6.86
2022-01-04 00:00:00,0.0,0.0,0.0,6.844
2022-01-04 01:00:00,0.0,0.0,0.0,6.834
2022-01-04 02:00:00,0.0,0.0,0.0,6.759
2022-01-04 03:00:00,0.0,0.0,0.0,6.673
2022-01-04 04:00:00,0.0,0.0,0.0,6.564
2022-01-04 05:00:00,0.0,0.0,0.0,6.362
2022-01-04 06:00:00,0.0,0.0,0.0,5.974
2022-01-04 07:00:00,0.0,0.0,0.0,5.272
2022-01-04 08:00:00,0.0,1.0,5.0,4.307
2022-01-04 09:00:00,20.0,4.0,30.0,3.514
2022-01-04 10:00:00,58.0,12.0,64.0,3.212
2022-01-04 11:00:00,99.0,27.0,91.0,3.418
2022-01-04 12:00:00,146.0,60.0,107.0,3.737
2022-01-04 13:00:00,186.0,111.0,98.0,3.855
2022-01-04 14:00:00,157.0,113.0,65.0,3.427
2022-01-04 15:00:00,37.0,36.0,17.0,1.91
2022-01-04 16:00:00,0.0,0.0,0.0,0.482
2022-01-04 17:00:00,0.0,0.0,0.0,0.255
2022-01-04 18:00:00,0.0,0.0,0.0,0.056
2022-01-04 19:00:00,0.0,0.0,0.0,-0.10200000000000001
2022-01-04 20:00:00,0.0,0.0,0.0,-0.155
2022-01-04 21:00:00,0.0,0.0,0.0,-0.15
2022-01-04 22:00:00,0.0,0.0,0.0,-0.18
2022-01-04 23:00:00,0.0,0.0,0.0,-0.277
2022-01-05 00:00:00,0.0,0.0,0.0,-0.299
2022-01-05 01:00:00,0.0,0.0,0.0,-0.276
2022-01-05 02:00:00,0.0,0.0,0.0,-0.291
2022-01-05 03:00:00,0.0,0.0,0.0,-0.319
2022-01-05 04:00:00,0.0,0.0,0.0,-0.23600000000000002
2022-01-05 05:00:00,0.0,0.0,0.0,-0.091
2022-01-05 06:00:00,0.0,0.0,0.0,-0.016
2022-01-05 07:00:00,0.0,0.0,0.0,0.039
2022-01-05 08:00:00,23.0,22.0,15.0,0.203
2022-01-05 09:00:00,145.0,106.0,59.0,1.32
2022-01-05 10:00:00,396.0,361.0,71.0,2.744
2022-01-05 11:00:00,477.0,455.0,73.0,4.232
2022-01-05 12:00:00,461.0,436.0,75.0,5.124
2022-01-05 13:00:00,355.0,317.0,74.0,5.277
2022-01-05 14:00:00,185.0,150.0,58.0,4.713
2022-01-05 15:00:00,30.0,30.0,15.0,3.028
2022-01-05 16:00:00,0.0,0.0,0.0,1.791
2022-01-05 17:00:00,0.0,0.0,0.0,1.368
2022-01-05 18:00:00,0.0,0.0,0.0,0.685
2022-01-05 19:00:00,0.0,0.0,0.0,0.03
2022-01-05 20:00:00,0.0,0.0,0.0,-0.403
2022-01-05 21:00:00,0.0,0.0,0.0,-0.898
2022-01-05 22:00:00,0.0,0.0,0.0,-1.266
2022-01-05 23:00:00,0.0,0.0,0.0,-1.28
2022-01-06 00:00:00,0.0,0.0,0.0,-1.565
2022-01-06 01:00:00,0.0,0.0,0.0,-1.782
2022-01-06 02:00:00,0.0,0.0,0.0,-1.978
2022-01-06 03:00:00,0.0,0.0,0.0,-2.15
2022-01-06 04:00:00,0.0,0.0,0.0,-2.346
2022-01-06 05:00:00,0.0,0.0,0.0,-2.629
2022-01-06 06:00:00,0.0,0.0,0.0,-2.634
2022-01-06 07:00:00,0.0,0.0,0.0,-2.644
2022-01-06 08:00:00,18.0,16.0,15.0,-2.512
2022-01-06 09:00:00,171.0,123.0,65.0,-1.446
2022-01-06 10:00:00,390.0,334.0,84.0,-0.096
2022-01-06 11:00:00,225.0,130.0,117.0,1.425
2022-01-06 12:00:00,73.0,15.0,77.0,2.054
2022-01-06 13:00:00,29.0,3.0,40.0,2.082
2022-01-06 14:00:00,16.0,3.0,26.0,2.305
2022-01-06 15:00:00,1.0,1.0,7.0,2.693
2022-01-06 16:00:00,0.0,0.0,0.0,3.281
2022-01-06 17:00:00,0.0,0.0,0.0,3.801
2022-01-06 18:00:00,0.0,0.0,0.0,4.645
2022-01-06 19:00:00,0.0,0.0,0.0,5.107
2022-01-06 20:00:00,0.0,0.0,0.0,5.352
2022-01-06 21:00:00,0.0,0.0,0.0,5.406
2022-01-06 22:00:00,0.0,0.0,0.0,4.923
2022-01-06 23:00:00,0.0,0.0,0.0,4.295
2022-01-07 00:00:00,0.0,0.0,0.0,3.666
2022-01-07 01:00:00,0.0,0.0,0.0,3.249
2022-01-07 02:00:00,0.0,0.0,0.0,2.941
2022-01-07 03:00:00,0.0,0.0,0.0,2.531
2022-01-07 04:00:00,0.0,0.0,0.0,2.074
2022-01-07 05:00:00,0.0,0.0,0.0,1.895
2022-01-07 06:00:00,0.0,0.0,0.0,1.79
2022-01-07 07:00:00,0.0,0.0,0.0,1.57
2022-01-07 08:00:00,4.0,3.0,9.0,1.519
2022-01-07 09:00:00,56.0,21.0,52.0,2.043
2022-01-07 10:00:00,144.0,71.0,94.0,2.853
2022-01-07 11:00:00,269.0,181.0,115.0,3.83
2022-01-07 12:00:00,254.0,166.0,114.0,4.546
2022-01-07 13:00:00,173.0,98.0,98.0,4.773
2022-01-07 14:00:00,65.0,27.0,56.0,4.477
2022-01-07 15:00:00,7.0,5.0,12.0,3.742
2022-01-07 16:00:00,0.0,0.0,0.0,3.036
2022-01-07 17:00:00,0.0,0.0,0.0,2.499
2022-01-07 18:00:00,0.0,0.0,0.0,2.206
2022-01-07 19:00:00,0.0,0.0,0.0,2.097
2022-01-07 20:00:00,0.0,0.0,0.0,1.983
2022-01-07 21:00:00,0.0,0.0,0.0,2.094
2022-01-07 22:00:00,0.0,0.0,0.0,1.539
2022-01-07 23:00:00,0.0,0.0,0.0,1.156
2022-01-08 00:00:00,0.0,0.0,0.0,0.9480000000000001
2022-01-08 01:00:00,0.0,0.0,0.0,1.054
2022-01-08 02:00:00,0.0,0.0,0.0,1.296
2022-01-08 03:00:00,0.0,0.0,0.0,1.522
2022-01-08 04:00:00,0.0,0.0,0.0,1.742
2022-01-08 05:00:00,0.0,0.0,0.0,1.851
2022-01-08 06:00:00,0.0,0.0,0.0,2.189
2022-01-08 07:00:00,0.0,0.0,0.0,2.972
2022-01-08 08:00:00,0.0,0.0,4.0,4.244
2022-01-08 09:00:00,10.0,1.0,20.0,5.742
2022-01-08 10:00:00,17.0,1.0,29.0,6.874
2022-01-08 11:00:00,22.0,1.0,35.0,7.582
2022-01-08 12:00:00,21.0,1.0,34.0,8.003
2022-01-08 13:00:00,10.0,1.0,21.0,8.312
2022-01-08 14:00:00,4.0,0.0,12.0,8.521
2022-01-08 15:00:00,0.0,0.0,3.0,8.308
2022-01-08 16:00:00,0.0,0.0,0.0,7.531
2022-01-08 17:00:00,0.0,0.0,0.0,6.397
2022-01-08 18:00:00,0.0,0.0,0.0,5.259
2022-01-08 19:00:00,0.0,0.0,0.0,4.557
2022-01-08 20:00:00,0.0,0.0,0.0,4.146
2022-01-08 21:00:00,0.0,0.0,0.0,3.737
2022-01-08 22:00:00,0.0,0.0,0.0,3.344
2022-01-08 23:00:00,0.0,0.0,0.0,3.093
2022-01-09 00:00:00,0.0,0.0,0.0,2.973
2022-01-09 01:00:00,0.0,0.0,0.0,2.812
2022-01-09 02:00:00,0.0,0.0,0.0,2.534
2022-01-09 03:00:00,0.0,0.0,0.0,2.202
2022-01-09 04:00:00,0.0,0.0,0.0,1.898
2022-01-09 05:00:00,0.0,0.0,0.0,1.699
2022-01-09 06:00:00,0.0,0.0,0.0,1.533
2022-01-09 07:00:00,0.0,0.0,0.0,1.391
2022-01-09 08:00:00,9.0,7.0,13.0,1.682
2022-01-09 09:00:00,67.0,30.0,56.0,2.496
2022-01-09 10:00:00,199.0,123.0,98.0,3.658
2022-01-09 11:00:00,317.0,240.0,109.0,4.857
2022-01-09 12:00:00,314.0,239.0,108.0,5.759
2022-01-09 13:00:00,224.0,153.0,97.0,6.087
2022-01-09 14:00:00,104.0,61.0,64.0,5.702
2022-01-09 15:00:00,14.0,11.0,15.0,4.068
2022-01-09 16:00:00,0.0,0.0,0.0,3.051
2022-01-09 17:00:00,0.0,0.0,0.0,2.584
2022-01-09 18:00:00,0.0,0.0,0.0,2.412
2022-01-09 19:00:00,0.0,0.0,0.0,2.056
2022-01-09 20:00:00,0.0,0.0,0.0,1.797
2022-01-09 21:00:00,0.0,0.0,0.0,1.731
2022-01-09 22:00:00,0.0,0.0,0.0,1.587
2022-01-09 23:00:00,0.0,0.0,0.0,1.875
2022-01-10 00:00:00,0.0,0.0,0.0,2.203
2022-01-10 01:00:00,0.0,0.0,0.0,2.274
2022-01-10 02:00:00,0.0,0.0,0.0,2.197
2022-01-10 03:00:00,0.0,0.0,0.0,2.155
2022-01-10 04:00:00,0.0,0.0,0.0,2.161
2022-01-10 05:00:00,0.0,0.0,0.0,2.179
