datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2020-01-01 00:00:00,0.0,0.0,0.0,4.057
2020-01-01 01:00:00,0.0,0.0,0.0,3.527
2020-01-01 02:00:00,0.0,0.0,0.0,3.072
2020-01-01 03:00:00,0.0,0.0,0.0,2.436
2020-01-01 04:00:00,0.0,0.0,0.0,2.209
2020-01-01 05:00:00,0.0,0.0,0.0,2.364
2020-01-01 06:00:00,0.0,0.0,0.0,2.38
2020-01-01 07:00:00,0.0,0.0,0.0,2.152
2020-01-01 08:00:00,2.0,2.0,7.0,1.97
2020-01-01 09:00:00,26.0,5.0,35.0,2.157
2020-01-01 10:00:00,55.0,10.0,62.0,2.6350000000000002
2020-01-01 11:00:00,73.0,13.0,78.0,3.148
2020-01-01 12:00:00,68.0,11.0,75.0,3.716
2020-01-01 13:00:00,53.0,9.0,61.0,4.165
2020-01-01 14:00:00,19.0,3.0,29.0,4.172
2020-01-01 15:00:00,0.0,1.0,5.0,3.82
2020-01-01 16:00:00,0.0,0.0,0.0,3.6
2020-01-01 17:00:00,0.0,0.0,0.0,3.429
2020-01-01 18:00:00,0.0,0.0,0.0,3.298
2020-01-01 19:00:00,0.0,0.0,0.0,3.222
2020-01-01 20:00:00,0.0,0.0,0.0,3.238
2020-01-01 21:00:00,0.0,0.0,0.0,3.37
2020-01-01 22:00:00,0.0,0.0,0.0,3.397
2020-01-01 23:00:00,0.0,0.0,0.0,3.525
2020-01-02 00:00:00,0.0,0.0,0.0,3.634
2020-01-02 01:00:00,0.0,0.0,0.0,3.812
2020-01-02 02:00:00,0.0,0.0,0.0,4.145
2020-01-02 03:00:00,0.0,0.0,0.0,4.445
2020-01-02 04:00:00,0.0,0.0,0.0,4.824
2020-01-02 05:00:00,0.0,0.0,0.0,5.141
2020-01-02 06:00:00,0.0,0.0,0.0,5.414
2020-01-02 07:00:00,0.0,0.0,0.0,5.684
2020-01-02 08:00:00,1.0,1.0,5.0,6.061
2020-01-02 09:00:00,23.0,5.0,32.0,6.735
2020-01-02 10:00:00,71.0,18.0,73.0,7.591
2020-01-02 11:00:00,131.0,47.0,107.0,8.355
2020-01-02 12:00:00,108.0,32.0,98.0,8.689
2020-01-02 13:00:00,51.0,9.0,60.0,8.554
2020-01-02 14:00:00,23.0,5.0,33.0,8.229
2020-01-02 15:00:00,2.0,2.0,8.0,7.741
2020-01-02 16:00:00,0.0,0.0,0.0,7.444
2020-01-02 17:00:00,0.0,0.0,0.0,7.4
2020-01-02 18:00:00,0.0,0.0,0.0,7.463
2020-01-02 19:00:00,0.0,0.0,0.0,7.586
2020-01-02 20:00:00,0.0,0.0,0.0,7.726
2020-01-02 21:00:00,0.0,0.0,0.0,7.975
2020-01-02 22:00:00,0.0,0.0,0.0,8.362
2020-01-02 23:00:00,0.0,0.0,0.0,8.818
2020-01-03 00:00:00,0.0,0.0,0.0,9.103
2020-01-03 01:00:00,0.0,0.0,0.0,9.339
2020-01-03 02:00:00,0.0,0.0,0.0,9.265
2020-01-03 03:00:00,0.0,0.0,0.0,9.113
2020-01-03 04:00:00,0.0,0.0,0.0,8.976
2020-01-03 05:00:00,0.0,0.0,0.0,8.573
2020-01-03 06:00:00,0.0,0.0,0.0,8.292
2020-01-03 07:00:00,0.0,0.0,0.0,8.21
2020-01-03 08:00:00,1.0,1.0,6.0,8.137
2020-01-03 09:00:00,27.0,8.0,35.0,7.624
2020-01-03 10:00:00,125.0,59.0,88.0,7.002
2020-01-03 11:00:00,186.0,105.0,107.0,6.803
2020-01-03 12:00:00,296.0,226.0,103.0,6.859
2020-01-03 13:00:00,388.0,358.0,73.0,6.803
2020-01-03 14:00:00,237.0,210.0,55.0,6.248
2020-01-03 15:00:00,45.0,47.0,15.0,4.76
2020-01-03 16:00:00,0.0,0.0,0.0,3.547
2020-01-03 17:00:00,0.0,0.0,0.0,3.237
2020-01-03 18:00:00,0.0,0.0,0.0,3.03
2020-01-03 19:00:00,0.0,0.0,0.0,2.729
2020-01-03 20:00:00,0.0,0.0,0.0,2.539
2020-01-03 21:00:00,0.0,0.0,0.0,2.44
2020-01-03 22:00:00,0.0,0.0,0.0,2.2520000000000002
2020-01-03 23:00:00,0.0,0.0,0.0,2.265
2020-01-04 00:00:00,0.0,0.0,0.0,2.366
2020-01-04 01:00:00,0.0,0.0,0.0,2.362
2020-01-04 02:00:00,0.0,0.0,0.0,2.522
2020-01-04 03:00:00,0.0,0.0,0.0,2.614
2020-01-04 04:00:00,0.0,0.0,0.0,2.747
2020-01-04 05:00:00,0.0,0.0,0.0,2.772
2020-01-04 06:00:00,0.0,0.0,0.0,2.813
2020-01-04 07:00:00,0.0,0.0,0.0,3.053
2020-01-04 08:00:00,5.0,4.0,9.0,3.147
2020-01-04 09:00:00,30.0,9.0,36.0,3.79
2020-01-04 10:00:00,109.0,46.0,84.0,4.605
2020-01-04 11:00:00,234.0,153.0,108.0,5.963
2020-01-04 12:00:00,437.0,404.0,85.0,7.346
2020-01-04 13:00:00,372.0,341.0,74.0,7.972
2020-01-04 14:00:00,195.0,163.0,59.0,7.585
2020-01-04 15:00:00,26.0,27.0,15.0,5.932
