datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2005-01-01 00:00:00,0.0,0.0,0.0,4.243
2005-01-01 01:00:00,0.0,0.0,0.0,3.478
2005-01-01 02:00:00,0.0,0.0,0.0,3.226
2005-01-01 03:00:00,0.0,0.0,0.0,3.62
2005-01-01 04:00:00,0.0,0.0,0.0,3.999
2005-01-01 05:00:00,0.0,0.0,0.0,4.159
2005-01-01 06:00:00,0.0,0.0,0.0,4.383
2005-01-01 07:00:00,0.0,0.0,0.0,4.678
2005-01-01 08:00:00,1.0,3.0,5.0,5.046
2005-01-01 09:00:00,21.0,8.0,25.0,5.846
2005-01-01 10:00:00,54.0,16.0,50.0,6.861
2005-01-01 11:00:00,96.0,33.0,75.0,7.948
2005-01-01 12:00:00,98.0,33.0,76.0,8.776
2005-01-01 13:00:00,42.0,11.0,44.0,8.932
2005-01-01 14:00:00,16.0,5.0,22.0,8.923
2005-01-01 15:00:00,0.0,1.0,3.0,9.6
2005-01-01 16:00:00,0.0,0.0,0.0,10.791
2005-01-01 17:00:00,0.0,0.0,0.0,11.09
2005-01-01 18:00:00,0.0,0.0,0.0,9.996
2005-01-01 19:00:00,0.0,0.0,0.0,7.884
2005-01-01 20:00:00,0.0,0.0,0.0,6.791
2005-01-01 21:00:00,0.0,0.0,0.0,6.036
2005-01-01 22:00:00,0.0,0.0,0.0,5.292
2005-01-01 23:00:00,0.0,0.0,0.0,4.601
2005-01-02 00:00:00,0.0,0.0,0.0,3.948
2005-01-02 01:00:00,0.0,0.0,0.0,3.547
2005-01-02 02:00:00,0.0,0.0,0.0,3.471
2005-01-02 03:00:00,0.0,0.0,0.0,3.291
2005-01-02 04:00:00,0.0,0.0,0.0,3.323
2005-01-02 05:00:00,0.0,0.0,0.0,3.246
2005-01-02 06:00:00,0.0,0.0,0.0,3.214
2005-01-02 07:00:00,0.0,0.0,0.0,3.235
2005-01-02 08:00:00,4.0,6.0,6.0,3.314
2005-01-02 09:00:00,27.0,12.0,27.0,3.751
2005-01-02 10:00:00,79.0,31.0,59.0,4.48
2005-01-02 11:00:00,126.0,54.0,80.0,5.326
2005-01-02 12:00:00,132.0,59.0,82.0,5.917
2005-01-02 13:00:00,117.0,58.0,68.0,6.044
2005-01-02 14:00:00,80.0,49.0,42.0,5.764
2005-01-02 15:00:00,22.0,24.0,9.0,5.08
2005-01-02 16:00:00,0.0,0.0,0.0,4.458
2005-01-02 17:00:00,0.0,0.0,0.0,4.106
2005-01-02 18:00:00,0.0,0.0,0.0,3.755
2005-01-02 19:00:00,0.0,0.0,0.0,3.393
2005-01-02 20:00:00,0.0,0.0,0.0,3.116
2005-01-02 21:00:00,0.0,0.0,0.0,2.768
2005-01-02 22:00:00,0.0,0.0,0.0,2.643
2005-01-02 23:00:00,0.0,0.0,0.0,2.792
2005-01-03 00:00:00,0.0,0.0,0.0,3.061
2005-01-03 01:00:00,0.0,0.0,0.0,3.273
2005-01-03 02:00:00,0.0,0.0,0.0,3.221
2005-01-03 03:00:00,0.0,0.0,0.0,3.328
2005-01-03 04:00:00,0.0,0.0,0.0,3.704
2005-01-03 05:00:00,0.0,0.0,0.0,4.305
2005-01-03 06:00:00,0.0,0.0,0.0,4.769
2005-01-03 07:00:00,0.0,0.0,0.0,5.01
2005-01-03 08:00:00,3.0,5.0,5.0,5.114
2005-01-03 09:00:00,30.0,14.0,28.0,5.513
2005-01-03 10:00:00,75.0,31.0,56.0,6.225
2005-01-03 11:00:00,236.0,147.0,92.0,6.913
2005-01-03 12:00:00,325.0,233.0,93.0,7.586
2005-01-03 13:00:00,295.0,220.0,77.0,7.933
2005-01-03 14:00:00,210.0,165.0,50.0,7.764
2005-01-03 15:00:00,57.0,58.0,11.0,6.997
2005-01-03 16:00:00,0.0,0.0,0.0,6.463
2005-01-03 17:00:00,0.0,0.0,0.0,6.501
2005-01-03 18:00:00,0.0,0.0,0.0,6.659
2005-01-03 19:00:00,0.0,0.0,0.0,6.863
2005-01-03 20:00:00,0.0,0.0,0.0,7.124
2005-01-03 21:00:00,0.0,0.0,0.0,7.5
2005-01-03 22:00:00,0.0,0.0,0.0,7.826
2005-01-03 23:00:00,0.0,0.0,0.0,7.967
2005-01-04 00:00:00,0.0,0.0,0.0,7.861
2005-01-04 01:00:00,0.0,0.0,0.0,7.791
2005-01-04 02:00:00,0.0,0.0,0.0,7.978
2005-01-04 03:00:00,0.0,0.0,0.0,8.135
2005-01-04 04:00:00,0.0,0.0,0.0,8.188
2005-01-04 05:00:00,0.0,0.0,0.0,8.284
2005-01-04 06:00:00,0.0,0.0,0.0,8.409
2005-01-04 07:00:00,0.0,0.0,0.0,8.53
2005-01-04 08:00:00,4.0,5.0,6.0,8.742
2005-01-04 09:00:00,42.0,19.0,35.0,9.198
2005-01-04 10:00:00,69.0,23.0,59.0,9.729
2005-01-04 11:00:00,61.0,14.0,60.0,10.094
2005-01-04 12:00:00,37.0,6.0,44.0,10.212
2005-01-04 13:00:00,15.0,2.0,24.0,10.174
2005-01-04 14:00:00,4.0,1.0,11.0,10.042
2005-01-04 15:00:00,1.0,3.0,5.0,9.552
2005-01-04 16:00:00,0.0,0.0,0.0,8.433
2005-01-04 17:00:00,0.0,0.0,0.0,6.604
2005-01-04 18:00:00,0.0,0.0,0.0,4.888
2005-01-04 19:00:00,0.0,0.0,0.0,3.95
2005-01-04 20:00:00,0.0,0.0,0.0,3.378
2005-01-04 21:00:00,0.0,0.0,0.0,2.979
2005-01-04 22:00:00,0.0,0.0,0.0,2.785
2005-01-04 23:00:00,0.0,0.0,0.0,2.536
2005-01-05 00:00:00,0.0,0.0,0.0,2.392
2005-01-05 01:00:00,0.0,0.0,0.0,2.327
2005-01-05 02:00:00,0.0,0.0,0.0,2.275
2005-01-05 03:00:00,0.0,0.0,0.0,2.208
2005-01-05 04:00:00,0.0,0.0,0.0,2.427
2005-01-05 05:00:00,0.0,0.0,0.0,2.493
2005-01-05 06:00:00,0.0,0.0,0.0,2.534
2005-01-05 07:00:00,0.0,0.0,0.0,2.555
2005-01-05 08:00:00,2.0,3.0,5.0,2.728
2005-01-05 09:00:00,21.0,7.0,25.0,3.462
2005-01-05 10:00:00,49.0,12.0,49.0,4.263
2005-01-05 11:00:00,44.0,8.0,49.0,4.84
2005-01-05 12:00:00,32.0,4.0,40.0,5.274
2005-01-05 13:00:00,18.0,3.0,26.0,5.56
2005-01-05 14:00:00,14.0,4.0,20.0,5.774
2005-01-05 15:00:00,19.0,19.0,11.0,5.684
2005-01-05 16:00:00,0.0,0.0,0.0,5.76
2005-01-05 17:00:00,0.0,0.0,0.0,6.011
2005-01-05 18:00:00,0.0,0.0,0.0,6.33
2005-01-05 19:00:00,0.0,0.0,0.0,6.759
2005-01-05 20:00:00,0.0,0.0,0.0,6.945
2005-01-05 21:00:00,0.0,0.0,0.0,6.809
2005-01-05 22:00:00,0.0,0.0,0.0,6.557
2005-01-05 23:00:00,0.0,0.0,0.0,5.816
2005-01-06 00:00:00,0.0,0.0,0.0,4.348
2005-01-06 01:00:00,0.0,0.0,0.0,3.561
2005-01-06 02:00:00,0.0,0.0,0.0,3.23
2005-01-06 03:00:00,0.0,0.0,0.0,3.209
2005-01-06 04:00:00,0.0,0.0,0.0,3.292
2005-01-06 05:00:00,0.0,0.0,0.0,3.296
2005-01-06 06:00:00,0.0,0.0,0.0,3.291
2005-01-06 07:00:00,0.0,0.0,0.0,3.425
2005-01-06 08:00:00,7.0,9.0,7.0,3.523
2005-01-06 09:00:00,31.0,14.0,29.0,4.533
2005-01-06 10:00:00,151.0,82.0,76.0,5.599
2005-01-06 11:00:00,121.0,50.0,80.0,6.531
2005-01-06 12:00:00,79.0,25.0,66.0,7.063
2005-01-06 13:00:00,89.0,39.0,62.0,7.672
2005-01-06 14:00:00,249.0,199.0,54.0,8.201
2005-01-06 15:00:00,80.0,79.0,13.0,7.815
2005-01-06 16:00:00,0.0,0.0,0.0,7.515
2005-01-06 17:00:00,0.0,0.0,0.0,8.073
2005-01-06 18:00:00,0.0,0.0,0.0,8.731
2005-01-06 19:00:00,0.0,0.0,0.0,9.093
2005-01-06 20:00:00,0.0,0.0,0.0,9.264
