datetime,solar generation [W/kW],irradiance_direct [W/m2],irradiance_diffuse [W/m2],temperature [degC]
2018-01-01 00:00:00,0.0,0.0,0.0,6.001
2018-01-01 01:00:00,0.0,0.0,0.0,5.259
2018-01-01 02:00:00,0.0,0.0,0.0,4.51
2018-01-01 03:00:00,0.0,0.0,0.0,4.2
2018-01-01 04:00:00,0.0,0.0,0.0,4.328
2018-01-01 05:00:00,0.0,0.0,0.0,4.567
2018-01-01 06:00:00,0.0,0.0,0.0,4.54
2018-01-01 07:00:00,0.0,0.0,0.0,4.505
2018-01-01 08:00:00,11.0,14.0,7.0,4.505
2018-01-01 09:00:00,96.0,64.0,42.0,4.835
2018-01-01 10:00:00,175.0,109.0,72.0,5.667
2018-01-01 11:00:00,279.0,188.0,91.0,6.492
2018-01-01 12:00:00,289.0,199.0,91.0,6.979
2018-01-01 13:00:00,251.0,177.0,77.0,6.898
2018-01-01 14:00:00,76.0,48.0,40.0,6.4
2018-01-01 15:00:00,8.0,11.0,7.0,5.76
2018-01-01 16:00:00,0.0,0.0,0.0,5.243
2018-01-01 17:00:00,0.0,0.0,0.0,4.978
2018-01-01 18:00:00,0.0,0.0,0.0,5.219
2018-01-01 19:00:00,0.0,0.0,0.0,5.651
2018-01-01 20:00:00,0.0,0.0,0.0,5.966
2018-01-01 21:00:00,0.0,0.0,0.0,5.808
2018-01-01 22:00:00,0.0,0.0,0.0,5.207
2018-01-01 23:00:00,0.0,0.0,0.0,4.49
2018-01-02 00:00:00,0.0,0.0,0.0,3.939
2018-01-02 01:00:00,0.0,0.0,0.0,3.58
2018-01-02 02:00:00,0.0,0.0,0.0,3.696
2018-01-02 03:00:00,0.0,0.0,0.0,3.441
2018-01-02 04:00:00,0.0,0.0,0.0,2.519
2018-01-02 05:00:00,0.0,0.0,0.0,2.777
2018-01-02 06:00:00,0.0,0.0,0.0,2.748
2018-01-02 07:00:00,0.0,0.0,0.0,2.559
2018-01-02 08:00:00,0.0,2.0,4.0,2.537
2018-01-02 09:00:00,8.0,2.0,15.0,2.988
2018-01-02 10:00:00,33.0,6.0,39.0,3.754
2018-01-02 11:00:00,39.0,6.0,45.0,4.681
2018-01-02 12:00:00,30.0,4.0,38.0,5.688
2018-01-02 13:00:00,7.0,1.0,15.0,6.344
2018-01-02 14:00:00,0.0,0.0,4.0,7.168
